actual_answer,student_answer,score,feedback
"A soccer match is 90 minutes long.","A soccer match is 60 minutes long.",0.0,"Incorrect match length."
"The Olympic Games are held every four years.","The Olympic Games are held every two years.",0.0,"Incorrect frequency."
"A touchdown in American football is worth six points.","A touchdown in American football is worth five points.",0.0,"Incorrect score."
"Marketing involves promoting and selling products or services.","Marketing involves manufacturing products.",0.0,"Incorrect function."
"A profit and loss statement summarizes revenues and expenses.","A profit and loss statement summarizes cash flows.",0.5,"Incorrect statement type."
"Leadership involves influencing and guiding others.","Leadership involves following others.",0.0,"Incorrect definition."
"An entrepreneur takes financial risks to start a business.","An entrepreneur works for a company.",0.0,"Incorrect definition."
"The lungs are responsible for gas exchange.","The kidneys are responsible for gas exchange.",0.0,"Incorrect organ."
"The large intestine absorbs water from waste.","The small intestine absorbs water from waste.",0.0,"Incorrect organ."
"The heart pumps blood throughout the body.","The liver pumps blood throughout the body.",0.0,"Incorrect organ."
"A virus requires a host cell to reproduce.","A virus can reproduce independently.",0.0,"Incorrect definition."
"A hypothesis is a testable statement.","A hypothesis is a proven fact.",0.0,"Incorrect definition."
"Data analysis involves interpreting information to find patterns.","Data analysis involves storing information.",0.5,"Incorrect function."
"The atomic number of nitrogen is 7.","The atomic number of nitrogen is 5.",0.8,"Incorrect value."
"Gold is a good conductor of electricity.","Gold is a poor conductor of electricity.",0.0,"Incorrect property."
"Light travels faster than sound.","Sound travels faster than light.",0.0,"Incorrect comparison."
"An exothermic reaction releases heat.","An exothermic reaction absorbs heat.",0.0,"Incorrect reaction type."
"The Fibonacci sequence starts with 0 and 1.","The Fibonacci sequence starts with 1 and 2.",0.0,"Incorrect starting terms."
"A triangle with sides of 3, 4, and 5 is a right triangle.","A triangle with sides of 2, 3, and 4 is a right triangle.",0.0,"Incorrect side lengths."
"The midpoint formula is ((x₁ + x₂) / 2, (y₁ + y₂) / 2).","The midpoint formula is ((x₁ - x₂) / 2, (y₁ - y₂) / 2).",0.0,"Incorrect operation."
"The French Revolution began in 1789.","The French Revolution began in 1776.",0.8,"Incorrect year."
"Abraham Lincoln delivered the Gettysburg Address.","George Washington delivered the Gettysburg Address.",0.0,"Incorrect speaker."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.0,"Incorrect capital."
"A pronoun takes the place of a noun.","A pronoun describes an action.",0.0,"Incorrect function."
"The Hindi word for 'friend' is 'दोस्त' (dost).","The Hindi word for 'friend' is 'घर' (ghar).",0.0,"Incorrect word."
"The Mona Lisa is displayed in the Louvre Museum.","The Mona Lisa is displayed in the British Museum.",0.0,"Incorrect location."
"An adjective describes a noun.","An adjective describes a verb.",0.0,"Incorrect function."
"Rome is the capital of Italy.","Rome is the capital of Spain.",0.0,"Incorrect capital."
"Marie Curie discovered radium.","Marie Curie discovered uranium.",0.0,"Incorrect discovery."
"The atomic number of carbon is 6.","The atomic number of carbon is 12.",0.5,"Incorrect atomic number."
"DNA stands for Deoxyribonucleic Acid.","DNA stands for Dioxyribose Acid.",0.5,"Incorrect abbreviation."
"The acceleration due to gravity on Earth is approximately 9.8 m/s².","The acceleration due to gravity on Earth is approximately 8.9 m/s².",0.8,"Incorrect value."
"Protons have a positive charge.","Protons have a negative charge.",0.0,"Incorrect charge."
"Water boils at 100°C at sea level.","Water boils at 90°C at sea level.",0.0,"Incorrect boiling point."
"Newton's third law states that for every action, there is an equal and opposite reaction.","Newton's third law states that for every action, there is an equal reaction.",0.7,"Incomplete statement."
"Photosynthesis produces oxygen and glucose.","Photosynthesis produces carbon dioxide and glucose.",0.5,"Partially correct."
"Mitochondria are known as the powerhouse of the cell.","Mitochondria are known as the control center of the cell.",0.0,"Incorrect function."
"The human body has 206 bones.","The human body has 208 bones.",0.8,"Slightly incorrect count."
"The sun is a star.","The sun is a planet.",0.0,"Incorrect classification."
"The slope of a line is calculated as (rise/run).","The slope of a line is calculated as (run/rise).",0.0,"Incorrect formula."
"The area of a circle is πr².","The area of a circle is 2πr.",0.5,"Incorrect formula."
"The perimeter of a square with side length 5 is 20.","The perimeter of a square with side length 5 is 25.",0.0,"Incorrect calculation."
"The square of 5 is 25.","The square of 5 is 30.",0.0,"Incorrect square."
"The derivative of x² is 2x.","The derivative of x² is x².",0.0,"Incorrect derivative."
"World War I ended in 1918.","World War I ended in 1920.",0.8,"Incorrect year."
"The Berlin Wall fell in 1989.","The Berlin Wall fell in 1991.",0.8,"Incorrect year."
"India gained independence in 1947.","India gained independence in 1957.",0.0,"Incorrect year."
"Christopher Columbus reached America in 1492.","Christopher Columbus reached America in 1592.",0.0,"Incorrect year."
"The Great Fire of London occurred in 1666.","The Great Fire of London occurred in 1766.",0.0,"Incorrect year."
"The French word for 'hello' is 'bonjour.'","The French word for 'hello' is 'merci.'",0.0,"Incorrect translation."
"Spanish is spoken in Mexico.","French is spoken in Mexico.",0.0,"Incorrect language."
"A pronoun replaces a noun.","A pronoun describes a noun.",0.0,"Incorrect definition."
"The plural of 'mouse' is 'mice.'","The plural of 'mouse' is 'mouses.'",0.0,"Incorrect plural form."
"The German word for 'water' is 'Wasser.'","The German word for 'water' is 'Wein.'",0.0,"Incorrect translation."
"Shakespeare wrote 'Hamlet.'","Shakespeare wrote 'The Odyssey.'",0.0,"Incorrect author."
"Van Gogh painted 'Starry Night.'","Van Gogh painted 'Mona Lisa.'",0.0,"Incorrect artist."
"The Mona Lisa is displayed in the Louvre Museum.","The Mona Lisa is displayed in the British Museum.",0.0,"Incorrect location."
"Beethoven composed 'Symphony No. 9.'","Beethoven composed 'The Four Seasons.'",0.0,"Incorrect composer."
"HTML stands for HyperText Markup Language.","HTML stands for High Transfer Markup Language.",0.7,"Incorrect abbreviation."
"A byte consists of 8 bits.","A byte consists of 16 bits.",0.0,"Incorrect size."
"Python is an interpreted language.","Python is a compiled language.",0.0,"Incorrect classification."
"A router directs network traffic.","A router encrypts network traffic.",0.0,"Incorrect function."
"Cybersecurity protects against unauthorized access to networks.","Cybersecurity enhances network speed.",0.0,"Incorrect function."
"A basketball game has four quarters.","A basketball game has three quarters.",0.0,"Incorrect period count."
"Soccer is played with 11 players on each team.","Soccer is played with 12 players on each team.",0.0,"Incorrect player count."
"The World Cup is held every four years.","The World Cup is held every two years.",0.0,"Incorrect frequency."
"A marathon is 42.195 kilometers long.","A marathon is 30 kilometers long.",0.0,"Incorrect distance."
"Profit equals revenue minus expenses.","Profit equals expenses minus revenue.",0.0,"Incorrect formula."
"An invoice is a bill for goods or services provided.","An invoice is a receipt for payment made.",0.5,"Incorrect definition."
"Leadership involves guiding and motivating others.","Leadership involves following others.",0.0,"Incorrect definition."
"An entrepreneur starts and manages a business.","An entrepreneur works as an employee.",0.0,"Incorrect definition."
"The heart has four chambers.","The heart has three chambers.",0.0,"Incorrect chamber count."
"The lungs are responsible for oxygen exchange.","The kidneys are responsible for oxygen exchange.",0.0,"Incorrect organ."
"Blood is pumped by the heart.","Blood is pumped by the liver.",0.0,"Incorrect organ."
"Vitamin C helps boost the immune system.","Vitamin C strengthens bones.",0.5,"Incorrect function."
"A hypothesis is a testable statement.","A hypothesis is a proven fact.",0.0,"Incorrect definition."
"Data analysis involves finding patterns in data.","Data analysis involves creating data.",0.0,"Incorrect definition."
"The atomic number of oxygen is 8.","The atomic number of oxygen is 7.",0.8,"Incorrect value."
"Gold is a metal.","Gold is a non-metal.",0.0,"Incorrect classification."
"Sound travels slower than light.","Sound travels faster than light.",0.0,"Incorrect comparison."
"A triangle with sides 3, 4, and 5 is a right triangle.","A triangle with sides 3, 4, and 6 is a right triangle.",0.0,"Incorrect sides."
"The area of a square with side length 4 is 16.","The area of a square with side length 4 is 12.",0.0,"Incorrect calculation."
"The Great Wall of China is over 13,000 miles long.","The Great Wall of China is over 5,000 miles long.",0.0,"Incorrect length."
"Rome is the capital of Italy.","Rome is the capital of Spain.",0.0,"Incorrect capital."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in London.",0.0,"Incorrect city."
"A triangle has three sides.","A triangle has four sides.",0.0,"Incorrect shape."
"A square has four equal sides.","A square has four unequal sides.",0.0,"Incorrect definition."
"The capital of Germany is Berlin.","The capital of Germany is Munich.",0.0,"Incorrect city."
"Venus is the hottest planet in the solar system.","Mercury is the hottest planet in the solar system.",0.5,"Incorrect planet."
"Saturn has the most prominent ring system in the solar system.","Jupiter has the most prominent ring system in the solar system.",0.5,"Incorrect planet."
"Earth is the third planet from the sun.","Earth is the second planet from the sun.",0.0,"Incorrect position."
"An atom's nucleus contains protons and neutrons.","An atom's nucleus contains electrons and protons.",0.0,"Incorrect composition."
"Light can travel through a vacuum.","Light cannot travel through a vacuum.",0.0,"Incorrect property."
"The human eye can detect millions of colors.","The human eye can detect only thousands of colors.",0.0,"Incorrect range."
"The Statue of Liberty was a gift from France.","The Statue of Liberty was a gift from Germany.",0.0,"Incorrect country."
"The Pacific Ocean is the largest ocean on Earth.","The Atlantic Ocean is the largest ocean on Earth.",0.0,"Incorrect ocean."
"The speed of light is approximately 300,000 km/s.","The speed of light is approximately 150,000 km/s.",0.0,"Incorrect value."
"The atomic mass of hydrogen is approximately 1.008 u.","The atomic mass of hydrogen is approximately 1.108 u.",0.8,"Incorrect value."
"The first element on the periodic table is hydrogen.","The first element on the periodic table is helium.",0.0,"Incorrect element."
"Water is a polar molecule.","Water is a non-polar molecule.",0.0,"Incorrect property."
"The human body is composed of approximately 60% water.","The human body is composed of approximately 40% water.",0.0,"Incorrect percentage."
"Photosynthesis occurs in the chloroplast.","Photosynthesis occurs in the mitochondria.",0.0,"Incorrect organelle."
"The atomic symbol for iron is Fe.","The atomic symbol for iron is Ir.",0.0,"Incorrect symbol."
"The speed of sound in air is approximately 343 m/s.","The speed of sound in air is approximately 400 m/s.",0.5,"Incorrect value."
"Carbon dioxide consists of one carbon and two oxygen atoms.","Carbon dioxide consists of one carbon and one oxygen atom.",0.0,"Incorrect composition."
"The formula for glucose is C6H12O6.","The formula for glucose is C5H12O6.",0.8,"Incorrect formula."
"Uranium is a radioactive element.","Uranium is a non-radioactive element.",0.0,"Incorrect property."
"The boiling point of ethanol is approximately 78°C.","The boiling point of ethanol is approximately 88°C.",0.8,"Incorrect value."
"Magnesium has an atomic number of 12.","Magnesium has an atomic number of 14.",0.0,"Incorrect atomic number."
"Acceleration is measured in meters per second squared (m/s²).","Acceleration is measured in meters per second (m/s).",0.5,"Incorrect unit."
"The chemical symbol for potassium is K.","The chemical symbol for potassium is P.",0.0,"Incorrect symbol."
"Prokaryotic cells lack a nucleus.","Prokaryotic cells have a nucleus.",0.0,"Incorrect definition."
"An acid has a pH below 7.","An acid has a pH above 7.",0.0,"Incorrect pH range."
"Electrons are negatively charged.","Electrons are positively charged.",0.0,"Incorrect charge."
"A covalent bond involves the sharing of electrons.","A covalent bond involves the transfer of electrons.",0.0,"Incorrect definition."
"Helium is a noble gas.","Helium is a halogen.",0.0,"Incorrect classification."
"Algebra involves solving equations.","Algebra involves measuring angles.",0.0,"Incorrect definition."
"A prime number is divisible only by 1 and itself.","A prime number is divisible by 2 and itself.",0.0,"Incorrect definition."
"The square root of 16 is 4.","The square root of 16 is 8.",0.0,"Incorrect value."
"The sum of the angles in a triangle is 180 degrees.","The sum of the angles in a triangle is 360 degrees.",0.0,"Incorrect sum."
"The Pythagorean theorem states that a² + b² = c².","The Pythagorean theorem states that a² - b² = c².",0.0,"Incorrect formula."
"The area of a rectangle is length × width.","The area of a rectangle is length + width.",0.0,"Incorrect formula."
"A linear equation has the form y = mx + b.","A linear equation has the form y = mx² + b.",0.0,"Incorrect form."
"A scalene triangle has no equal sides.","A scalene triangle has two equal sides.",0.0,"Incorrect definition."
"A right triangle has one angle of 90 degrees.","A right triangle has one angle of 60 degrees.",0.0,"Incorrect definition."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.0,"Incorrect capital."
"The Amazon River is the longest river in the world.","The Nile River is the longest river in the world.",0.5,"Incorrect river."
"Mount Everest is the tallest mountain in the world.","Mount Everest is the tallest volcano in the world.",0.0,"Incorrect classification."
"The Great Pyramid of Giza is in Egypt.","The Great Pyramid of Giza is in Sudan.",0.0,"Incorrect location."
"Democracy is a system of government by the whole population.","Democracy is a system of government by one person.",0.0,"Incorrect definition."
"World War II ended in 1945.","World War II ended in 1943.",0.8,"Incorrect year."
"Julius Caesar was a Roman general.","Julius Caesar was a Greek general.",0.0,"Incorrect nationality."
"Shakespeare wrote 'Romeo and Juliet.'","Shakespeare wrote 'Pride and Prejudice.'",0.0,"Incorrect author."
"Capitalism is an economic system based on private ownership.","Capitalism is an economic system based on state ownership.",0.0,"Incorrect definition."
"English is a Germanic language.","English is a Romance language.",0.0,"Incorrect classification."
"The French word for 'thank you' is 'merci.'","The French word for 'thank you' is 'bonjour.'",0.0,"Incorrect translation."
"The Hindi word for 'water' is 'paani.'","The Hindi word for 'water' is 'jal.'",0.8,"Partially correct."
"Shakespeare wrote 'Hamlet.'","Shakespeare wrote 'Inferno.'",0.0,"Incorrect author."
"Van Gogh painted 'Sunflowers.'","Van Gogh painted 'The Last Supper.'",0.0,"Incorrect artist."
"Leonardo da Vinci painted 'Mona Lisa.'","Leonardo da Vinci painted 'Starry Night.'",0.0,"Incorrect artist."
"Beethoven composed 'Fur Elise.'","Beethoven composed 'The Nutcracker.'",0.0,"Incorrect composer."
"HTML is used to structure web pages.","HTML is used to style web pages.",0.5,"Incorrect function."
"A function in Python is defined using 'def.'","A function in Python is defined using 'func.'",0.0,"Incorrect keyword."
"JavaScript is a client-side scripting language.","JavaScript is a server-side language only.",0.0,"Incorrect classification."
"A byte consists of 8 bits.","A byte consists of 16 bits.",0.0,"Incorrect size."
"A firewall protects against unauthorized access.","A firewall improves internet speed.",0.0,"Incorrect function."
"The FIFA World Cup is held every four years.","The FIFA World Cup is held every two years.",0.0,"Incorrect frequency."
"A basketball team has 5 players on the court.","A basketball team has 6 players on the court.",0.0,"Incorrect player count."
"A soccer match lasts 90 minutes.","A soccer match lasts 120 minutes.",0.0,"Incorrect duration."
"Protein helps build and repair tissues.","Protein provides immediate energy.",0.0,"Incorrect function."
"Carbohydrates are the body's main source of energy.","Carbohydrates are the body's main source of protein.",0.0,"Incorrect nutrient type."
"Vitamin D is produced when the skin is exposed to sunlight.","Vitamin D is produced when the skin is exposed to rain.",0.0,"Incorrect source."
"A hypothesis is a testable statement.","A hypothesis is a proven theory.",0.0,"Incorrect definition."
"The scientific method involves observation and experimentation.","The scientific method involves only observation.",0.5,"Incomplete definition."
"The freezing point of water is 0°C.","The freezing point of water is -10°C.",0.0,"Incorrect value."
"Salt lowers the freezing point of water.","Salt increases the freezing point of water.",0.0,"Incorrect effect."
"Plants produce oxygen during photosynthesis.","Plants produce carbon dioxide during photosynthesis.",0.0,"Incorrect product."
"The mitochondria are known as the powerhouse of the cell.","The mitochondria are known as the control center of the cell.",0.0,"Incorrect function."
"The nucleus contains the cell's genetic material.","The nucleus contains the cell's cytoplasm.",0.0,"Incorrect content."
"A cell membrane regulates what enters and exits the cell.","A cell membrane stores genetic material.",0.0,"Incorrect function."
"Earth revolves around the sun.","The sun revolves around Earth.",0.0,"Incorrect orbit."
"Light travels faster than sound.","Sound travels faster than light.",0.0,"Incorrect comparison."
"The moon reflects sunlight.","The moon produces its own light.",0.0,"Incorrect light source."
"Paris is the capital of France","Rome is the capital of France",0,"Incorrect"


